ID,Customer ID,Country Code,Phone Number
107,C16105,SG - Singapore,(65) 94590298
108,C35143,,9912887
109,C27204,SG - Singapore,99214313
110,C05046,SG - Singapore,+65 99837360
111,C11504,SG - Singapore,9620 1232
112,C48468,SG - Singapore,3407 1629
113,C06999,SG - Singapore,(+65) 92783680;
114,C36389,SG - Singapore,1A62 197F
115,C39640,SG - Singapore,649 3391
116,C46305,SG - Singapore,
117,C46339,SG - Singapore,88084025
118,C31687,SG - Singapore,3200 4053
119,C04516,SG - Singapore,9165 6954
120,C99999,SG - Singapore,95417938
121,C39023,SG - Singapore,(65) 63313765
122,C34494,SG - Singapore,85634287
123,C31539,SG - Singapore,
124,C32000,SG - Singapore,915695677
125,C32631,SG - Singapore,+65 98952116
126,C09835,SG - Singapore,(65) 83817438
127,C42188,SG - Singapore,66053013
128,C39633,,85242285; 66118302
129,C10748,SG - Singapore,61382599
130,C42275,SG - Singapore,(65) 99258169
131,C19455,SG - Singapore,67878844
132,C44087,SG - Singapore,0x331FC4
133,C11034,SG - Singapore,34171538
134,C25499,SG - Singapore,+65 86884455
135,C10693,SG - Singapore,+65 89270106
136,C40111,SG - Singapore,3158 6405
137,C48548,SG - Singapore,8584714
138,C16266,SG - Singapore,(+65) 31910770
139,C29617,SG - Singapore,6943 6432
140,C25550,SG - Singapore,64043419
141,C44583,SG - Singapore,6743 8364
142,C40791,SG - Singapore,(+65) 86847281
143,C07090,SG - Singapore,32752709
144,C17972,SG - Singapore,63392801 TO 04
145,C22201,SG - Singapore,9618006
146,C21383,SG - Singapore,+65 89842875
147,C37795,SG - Singapore,(65) 89004046
148,C12176,SG - Singapore,+65 62946155
149,C30292,MY - Malaysia,603-32629850
150,C12074,SG - Singapore,34598664
151,C40528,SG - Singapore,9385 6293
152,C43624,SG - Singapore,+65 63117692
153,C33424,SG - Singapore,8640927
154,C17143,ID - Indonesia,(65) 61505229
155,C02727,SG - Singapore,+65 92537729
156,C01223,SG - Singapore,33767702
157,C31845,SG - Singapore,35038302
158,C09537,SG - Singapore,3654 9378
159,C08056,SG - Singapore,6303-3623
160,C28591,SG - Singapore,(65) 0x24A890F
161,C19682,SG - Singapore,99 3029
162,C30895,SG - Singapore,(65) 0x3C398C5
163,C12675,SG - Singapore,3409 8160
164,C29597,SG - Singapore,0x5A8A4C6
165,C33243,SG - Singapore,3153 4632
166,C03249,SG - Singapore,(+65) 67857761
167,C28776,SG - Singapore,6886 8401
168,C40172,SG - Singapore,(65) 35987018
169,C32104,SG - Singapore,3958 6986
170,C13419,SG - Singapore,(65) 86151732
171,C42683,SG - Singapore,(+65) 83171329-
172,C14222,,38379546
173,C27527,SG - Singapore,0x5180FE7
174,C46852,SG - Singapore,6752 2395
175,C08270,SG - Singapore,0x4272388
176,C21473,SG - Singapore,(65) 98837501
177,C10204,SG - Singapore,(+65) 85456427
178,C31914,SG - Singapore,(+65) 88481588
179,C06201,SG - Singapore,33748195
180,C16175,SG - Singapore,(+65) 33457007
181,C99999,MY - Malaysia,603-4666241
182,C26433,SG - Singapore,(65) 38990876
183,C33030,CN - China,+65 68048940
184,C16755,SG - Singapore,38759514
185,C14328,SG - Singapore,(65) 65986158
186,C17064,SG - Singapore,+65 82500661
187,C25703,SG - Singapore,+65 83974797
188,C28608,SG - Singapore,9921 4119
189,C21538,SG - Singapore,(65) 69483179
190,C14805,SG - Singapore,+65 89066295
191,C34500,SG - Singapore,0x3FF03E0
192,C14942,SG - Singapore,967567864
193,C99999,SG - Singapore,91850502
194,C49666,ID - Indonesia,(65) 93898917
195,C41516,SG - Singapore,
196,C48181,SG - Singapore,6582-7975
197,C47493,SG - Singapore,3379 5568
198,C23468,SG - Singapore,(65) 36166708
199,C29551,SG - Singapore,95689741
200,C47248,SG - Singapore,(+65) 37782660
201,C36801,SG - Singapore,+65 83754037
202,C13206,SG - Singapore,(65) 83578362
203,C00633,SG - Singapore,(65) 32295262
204,C37376,SG - Singapore,8213514
205,C32672,SG - Singapore,32174042
206,C03318,SG - Singapore,
207,C10637,SG - Singapore,(+65) 38027983
208,C28775,SG - Singapore,6243-8398
209,C01582,SG - Singapore,(65) 91145210
210,C12508,SG - Singapore,0x409D0E6
211,C44766,SG - Singapore,9527 3977
212,C45709,SG - Singapore,95879203
213,C13173,SG - Singapore,+65 61151824
214,C48203,SG - Singapore,+65 62496923
215,C28541,SG - Singapore,+65 81769828
216,C00802,SG - Singapore,(+65) 84659599
217,C12135,SG - Singapore,86376408
218,C01483,SG - Singapore,1AC4-163D
219,C10851,SG - Singapore,6537 1583
220,C31935,SG - Singapore,(65) 36264699.
221,C13034,SG - Singapore,92888281
222,C35268,SG - Singapore,+65 92663399
223,C17337,,(65) 62514722
224,C07927,SG - Singapore,0xA5365
225,C08155,SG - Singapore,(65) 87498462
226,C46414,SG - Singapore,3819 2098
227,C38663,SG - Singapore,83640068
228,C13433,SG - Singapore,68917397
229,C12600,SG - Singapore,+65 99762122
230,C34091,SG - Singapore,(+65) 85209118
231,C08292,SG - Singapore,+65 85425163
232,C10787,MY - Malaysia,03-90679229
233,C18627,SG - Singapore,+65 96170706
234,C19769,SG - Singapore,(65) 87410340
235,C08951,SG - Singapore,91439851
236,C16489,SG - Singapore,6601657
237,C12188,SG - Singapore,63753967
238,C29051,SG - Singapore,31553404
239,C08021,SG - Singapore,(65) 38886728
240,C17000,SG - Singapore,9121040
241,C26488,SG - Singapore,939886121
242,C34561,SG - Singapore,(65) 89987711
243,C29041,SG - Singapore,
244,C39778,MY - Malaysia,+65 95127439
245,C41918,SG - Singapore,+65 33673535
246,C46425,SG - Singapore,9398 3383
247,C11605,SG - Singapore,6514484
248,C45761,SG - Singapore,(65) 86821345
249,C39915,SG - Singapore,(+65) 66763511
250,C31602,ID - Indonesia,+65 69278970
251,C43007,SG - Singapore,9661662
252,C20946,SG - Singapore,0x247BC24
253,C07453,SG - Singapore,9731 7272
254,C43342,SG - Singapore,3124 5290
255,C13295,SG - Singapore,61602494
256,C09451,SG - Singapore,93075335
257,C39394,SG - Singapore,(65) 68526088
258,C33644,SG - Singapore,6922 6095
259,C23039,SG - Singapore,97780459
260,C34061,SG - Singapore,(+65) 99051313
261,C35620,SG - Singapore,61411809
262,C14219,SG - Singapore,3419 1802
263,C25885,SG - Singapore,8744677
264,C46667,SG - Singapore,3152133
265,C48137,SG - Singapore,67732290
266,C27488,SG - Singapore,6929 8567
267,C30153,SG - Singapore,"81300525,65016018"
268,C11040,SG - Singapore,83678857
269,C22608,SG - Singapore,+65 96735809
270,C06961,SG - Singapore,914807861
271,C03030,SG - Singapore,(+65) 95085031
272,C18115,SG - Singapore,(65) 34717516
273,C47334,SG - Singapore,(+65) 81651000
274,C99999,CN - China,+86-68089583
275,C35702,SG - Singapore,32535732
276,C34444,SG - Singapore,81205222
277,C44075,SG - Singapore,6326 9166
278,C41526,SG - Singapore,+65 86387649
279,C27862,SG - Singapore,69068527
280,C18237,SG - Singapore,89335245
281,C22836,SG - Singapore,(65) 37385135
282,C24255,SG - Singapore,9301 6525
283,C07210,SG - Singapore,+65 85906316
284,C40149,SG - Singapore,91772985
285,C02796,SG - Singapore,926525691
286,C43284,SG - Singapore,6507-8782
287,C13593,SG - Singapore,(65) 85470087
288,C42811,SG - Singapore,3742 7947
289,C45720,SG - Singapore,6260 3869
290,C40245,SG - Singapore,6151341
291,C07744,SG - Singapore,(65) 97889446
292,C11312,SG - Singapore,89822703
293,C05763,MY - Malaysia,(65) 83452038
294,C47491,SG - Singapore,917206778
295,C10741,SG - Singapore,+65 94936087
296,C10515,,86655642
297,C49175,SG - Singapore,+65 84988591
298,C45327,SG - Singapore,69971084
299,C28057,SG - Singapore,(65) 31905025
300,C01979,SG - Singapore,+65 88557925
301,C32991,SG - Singapore,65820748
302,C41732,SG - Singapore,98319056
303,C48210,SG - Singapore,(65) 64842649
304,C27385,SG - Singapore,657 4410
305,C29203,SG - Singapore,0x4E77B18
306,C33055,SG - Singapore,3692 9396
307,C23499,MY - Malaysia,+65 84217426
308,C10882,SG - Singapore,9228 9141
309,C44011,SG - Singapore,34286046
310,C48274,SG - Singapore,(65) 92485395
311,C37624,SG - Singapore,81194192
312,C06878,SG - Singapore,96211149
313,C16013,SG - Singapore,63278855
314,C00935,SG - Singapore,
315,C46075,SG - Singapore,(65) 65941573
316,C00919,MY - Malaysia,(65) 38684162
317,C41910,SG - Singapore,(65) 95650216
318,C01085,SG - Singapore,87283377
319,C22868,SG - Singapore,8287 6555
320,C10927,SG - Singapore,+65 88738527
321,C08995,SG - Singapore,9757 3997
322,C24487,SG - Singapore,0x5444A37
323,C05179,SG - Singapore,64169965
324,C36502,MY - Malaysia,03-99595234
325,C02586,SG - Singapore,(+65) 67395841
326,C26976,SG - Singapore,(65) 83785796
327,C08874,SG - Singapore,(+65) 37705009
328,C33298,SG - Singapore,96142738
329,C02929,SG - Singapore,84354286
330,C07651,SG - Singapore,930062010
331,C23020,SG - Singapore,9340 3789
332,C39551,SG - Singapore,(65) 82792520
333,C21594,SG - Singapore,
334,C21135,SG - Singapore,(65) 92931108
335,C49424,SG - Singapore,(+65) 64217783
336,C02486,SG - Singapore,93164667
337,C04412,SG - Singapore,9223 1667
338,C23097,SG - Singapore,(65) 93011457
339,C04114,,(65) 61434428
340,C33761,SG - Singapore,6226 7640
341,C30802,SG - Singapore,6618-7984
342,C41246,SG - Singapore,3379 1158
343,C02427,SG - Singapore,62831097 / 62737838
344,C30906,SG - Singapore,6727 7330
345,C07007,SG - Singapore,(65) 83885980
346,C07218,SG - Singapore,(+65) 35931113
347,C19744,SG - Singapore,635532
348,C13338,SG - Singapore,(65) 88910829
349,C36215,SG - Singapore,8607092
350,C18747,SG - Singapore,(65) 96549795
351,C38456,SG - Singapore,(+65) 33065432
352,C12095,SG - Singapore,(65) 83683587
353,C26421,SG - Singapore,+65 38197724
354,C31458,SG - Singapore,9327 3565
355,C28803,SG - Singapore,(65) 86376107
356,C05024,SG - Singapore,(65) 85520655
357,C20684,SG - Singapore,8689 3310
358,C24222,SG - Singapore,(65) 69410814
359,C13490,SG - Singapore,(+65) 98069308
360,C99999,MY - Malaysia,603-8637055
361,C40229,SG - Singapore,8485829
362,C37146,SG - Singapore,(65) 66907583
363,C04880,ID - Indonesia,(65) 37206712
364,C43693,SG - Singapore,9747 9884
365,C29079,MY - Malaysia,(65) 94468332
366,C32309,SG - Singapore,0x209B971
367,C06167,SG - Singapore,3707 4878
368,C35876,SG - Singapore,(+65) 97353000
369,C15671,SG - Singapore,(+65) 96043068
370,C07935,SG - Singapore,(65) 91098761
371,C49142,SG - Singapore,9166-8695
372,C42361,SG - Singapore,(+65) 88807214
373,C02925,SG - Singapore,(65) 86127900
374,C38726,SG - Singapore,+65 39622021
375,C24866,SG - Singapore,(65) 63561661
376,C44040,,+65 91174995
377,C22146,SG - Singapore,9421 7053
378,C40001,SG - Singapore,(65) 92130823
379,C26441,SG - Singapore,+65 85375165
380,C12510,SG - Singapore,67345332
381,C38144,SG - Singapore,3687-2523
382,C09006,SG - Singapore,+65 64279355
383,C45708,SG - Singapore,33543276
384,C05552,SG - Singapore,8164 4916
385,C08131,SG - Singapore,(+65) 36541216
386,C44336,SG - Singapore,91070552
387,C28328,MY - Malaysia,603-41118383
388,C36917,SG - Singapore,(65) 65796638
389,C44661,SG - Singapore,+65 62741385
390,C15595,SG - Singapore,34613633
391,C29785,SG - Singapore,(65) 33943747
392,C36150,SG - Singapore,94940073
393,C43530,SG - Singapore,34783050
394,C10856,SG - Singapore,87479862
395,C39272,SG - Singapore,(+65) 38993703
396,C24631,SG - Singapore,+65 87139449
397,C18847,SG - Singapore,(65) 89520111
398,C00793,MY - Malaysia,(65) 91570219
399,C21810,SG - Singapore,95193
400,C26683,SG - Singapore,34220761
401,C42971,SG - Singapore,9808 8023
402,C41056,SG - Singapore,(+65) 38573329
403,C39594,SG - Singapore,94382131
404,C32724,SG - Singapore,(+65) 35500066
405,C16608,SG - Singapore,8839835
406,C13673,SG - Singapore,(65) 99186358
407,C39949,CN - China,+65 63364888
408,C23687,SG - Singapore,3297 9181
409,C11222,SG - Singapore,(65) 93708792
410,C38146,SG - Singapore,64435571
411,C99999,ID - Indonesia,94379226
412,C29906,SG - Singapore,(+65) 38566017
413,C46910,SG - Singapore,(+65) 91293211
414,C15648,MY - Malaysia,+60-012389032
415,C08636,SG - Singapore,6334 6403
416,C48977,SG - Singapore,88197489
417,C23873,SG - Singapore,+65 85249599
418,C45989,SG - Singapore,912279059
419,C18166,SG - Singapore,(65) 99167429
420,C34189,SG - Singapore,6836-1716
421,C01220,SG - Singapore,3805 8726
422,C33922,SG - Singapore,(65) 96047830
423,C19141,SG - Singapore,6272 6307
424,C06115,SG - Singapore,3302 5696
425,C39308,SG - Singapore,(+65) 91484498
426,C46554,SG - Singapore,(65) 69484039
427,C35576,SG - Singapore,6404 2424
428,C22695,SG - Singapore,62315098
429,C36998,SG - Singapore,67887967 / 64318030
430,C38519,MY - Malaysia,(+65) 97633830
431,C34471,SG - Singapore,83289586
432,C16282,SG - Singapore,(+65) 32611952
433,C06248,SG - Singapore,(65) 68423852
434,C09312,SG - Singapore,93524184
435,C44151,SG - Singapore,97793619
436,C10704,SG - Singapore,+65 34894892
437,C43432,SG - Singapore,+65 37094769
438,C22286,SG - Singapore,6833990
439,C12207,SG - Singapore,"84946970,63245540"
440,C25179,SG - Singapore,3792 654
441,C07438,SG - Singapore,820886
442,C27890,SG - Singapore,87119262
443,C22947,SG - Singapore,88214742
444,C20409,SG - Singapore,975396143
445,C00132,SG - Singapore,+65 62697905
446,C37970,SG - Singapore,39947342
447,C05108,SG - Singapore,89604211
448,C44598,SG - Singapore,"84534423,62599144"
449,C16660,SG - Singapore,(65) 83803629
450,C16771,,9644 1351
451,C04418,SG - Singapore,(65) 92160716
452,C07949,SG - Singapore,
453,C36212,SG - Singapore,31548444
454,C00469,SG - Singapore,+65 88869617
455,C40710,SG - Singapore,(65) 31744569
456,C33074,SG - Singapore,8881353
457,C28811,SG - Singapore,62151476
458,C27359,SG - Singapore,(+65) 87483132
459,C35035,SG - Singapore,(65) 85059370
460,C14459,SG - Singapore,971387301
461,C48356,SG - Singapore,(65) 91983227
462,C37423,SG - Singapore,(65) 63775962
463,C24665,SG - Singapore,(65) 69210335
464,C47970,SG - Singapore,(65) 66242156
465,C32168,SG - Singapore,8312129
466,C34142,SG - Singapore,(65) 67582749
467,C41361,SG - Singapore,3956 4551
468,C11411,SG - Singapore,+65 69055651
469,C29969,SG - Singapore,95141301
470,C20567,SG - Singapore,0x3CEF023
471,C37899,SG - Singapore,6756 7856
472,C20790,SG - Singapore,+65 89281621
473,C36201,SG - Singapore,97076904
474,C35988,SG - Singapore,969251484
475,C04055,SG - Singapore,37723439
476,C00403,SG - Singapore,(65) 38503075
477,C19205,SG - Singapore,(65) 66534105
478,C03123,SG - Singapore,6801 3702
479,C29180,SG - Singapore,31490044
480,C02808,SG - Singapore,(65) 32236273
481,C32236,SG - Singapore,94841068
482,C27140,SG - Singapore,3510 2696
483,C02351,SG - Singapore,0x20E33DD
484,C40740,SG - Singapore,(65) 64924800
485,C42580,SG - Singapore,(65) 87852789
486,C02783,SG - Singapore,(65) 36820051
487,C26916,SG - Singapore,+65 86392859
488,C31456,SG - Singapore,(65) 63920228
489,C29681,SG - Singapore,+65 86604437
490,C34100,SG - Singapore,6794 7099
491,C32421,SG - Singapore,916903
492,C14608,SG - Singapore,(65) 34486648
493,C20097,SG - Singapore,997 3259
494,C40090,SG - Singapore,39454736
495,C27011,SG - Singapore,8363505
496,C41246,SG - Singapore,8801943
497,C16033,SG - Singapore,+65 86446234
498,C38390,,+65 81011862
499,C11346,SG - Singapore,3324 1518
500,C01020,SG - Singapore,(+65) 85364724
501,C45010,SG - Singapore,369 3171
502,C24512,SG - Singapore,(65) 65036615
503,C44736,SG - Singapore,95315769
504,C04717,SG - Singapore,36585573
505,C30338,SG - Singapore,(65) 91353823
506,C35035,SG - Singapore,+65 92647565
507,C45693,SG - Singapore,37039770
508,C25297,SG - Singapore,
509,C10499,SG - Singapore,(65) 61577887
510,C37332,SG - Singapore,+65 94663994
511,C31060,SG - Singapore,+65 93394743
512,C40413,SG - Singapore,(65) 69092363
513,C32338,SG - Singapore,6860 38
514,C02809,SG - Singapore,(+65) 35629857
515,C48120,MY - Malaysia,(65) 66151136
516,C28541,SG - Singapore,9582 7852
517,C33381,SG - Singapore,+65 31046231
518,C18393,SG - Singapore,(65) 94976927
519,C34352,SG - Singapore,37034950
520,C40484,SG - Singapore,8991782
521,C41741,SG - Singapore,31089860
522,C12282,SG - Singapore,6429 5836
523,C45671,SG - Singapore,34393032
524,C36601,,33920170
525,C22592,SG - Singapore,3604363
526,C27134,SG - Singapore,9357 2017
527,C47903,SG - Singapore,31511689
528,C47920,SG - Singapore,+65 62351605
529,C13505,SG - Singapore,(+65) 96247587
530,C40149,SG - Singapore,D39-E9D
531,C31879,SG - Singapore,3542094
532,C03157,SG - Singapore,+65 89321529
533,C19252,SG - Singapore,(+65) 65281039
534,C42968,SG - Singapore,9950 7361
535,C00246,SG - Singapore,31072428
536,C39599,SG - Singapore,3614-1610
537,C22180,SG - Singapore,(+65) 39970641
538,C02828,SG - Singapore,65 6284
539,C29701,SG - Singapore,
540,C46912,SG - Singapore,37022341
541,C05704,SG - Singapore,(+65) 94697714
542,C08879,SG - Singapore,(+65) 36681369
543,C22393,SG - Singapore,3326 2721
544,C05793,SG - Singapore,6492-9026
545,C30336,SG - Singapore,98833631
546,C02025,SG - Singapore,(+65) 97204807
547,C08991,SG - Singapore,(65) 39465479
548,C04544,SG - Singapore,(65) 63506465
549,C00304,SG - Singapore,92405693
550,C19992,SG - Singapore,3607 104
551,C24044,SG - Singapore,92655562
552,C34411,SG - Singapore,67627449
553,C33094,SG - Singapore,(+65) 99963279
554,C36117,SG - Singapore,+65 94059210
555,C31549,SG - Singapore,626 5602
556,C26591,SG - Singapore,38155018
557,C32715,SG - Singapore,3125-6992
558,C03158,SG - Singapore,92727073
559,C49775,SG - Singapore,(+65) 87899048
560,C12679,MY - Malaysia,(65) 61613798
561,C26453,SG - Singapore,(65) 84716964
562,C36295,SG - Singapore,92913718
563,C36817,SG - Singapore,(65) 85995738
564,C22183,SG - Singapore,6555393
565,C16490,,96059468
566,C15449,SG - Singapore,(+65) 85027242
567,C35590,SG - Singapore,9152 3120
568,C20102,SG - Singapore,93233999
569,C37344,SG - Singapore,(+65) 39472051
570,C22457,SG - Singapore,+65 67104591
571,C35556,SG - Singapore,63459225
572,C38661,SG - Singapore,(+65) 82087929
573,C29251,SG - Singapore,+65 31744586
574,C44971,SG - Singapore,(65) 5CCFE27
575,C22356,SG - Singapore,38987632
576,C09189,SG - Singapore,95249966
577,C48775,SG - Singapore,6141 6880
578,C04404,SG - Singapore,
579,C10054,SG - Singapore,8219 3651
580,C41238,SG - Singapore,64807121
581,C06704,SG - Singapore,37042509
582,C07358,SG - Singapore,(65) 63238488
583,C33210,SG - Singapore,3754 2459
584,C04219,SG - Singapore,3968577
585,C34029,SG - Singapore,9946 1513
586,C04419,SG - Singapore,(65) 36079210
587,C25117,SG - Singapore,3871-2420
588,C49550,SG - Singapore,+65 62249918
589,C15776,,36886009
590,C33324,SG - Singapore,64074036
591,C06790,SG - Singapore,82721658
592,C34165,SG - Singapore,3789 1672
593,C40805,SG - Singapore,0x21A01B8
594,C38754,SG - Singapore,6998-9478
595,C38533,MY - Malaysia,07980980
596,C17857,SG - Singapore,3135 4236
597,C24034,SG - Singapore,(65) 94310420
598,C22394,SG - Singapore,31264296
599,C06482,SG - Singapore,(65) 61040215
600,C00498,SG - Singapore,(+65) 34636241
601,C39658,SG - Singapore,87060519
602,C06581,MY - Malaysia,03-55090924
603,C15633,SG - Singapore,(+65) 37899428
604,C08345,SG - Singapore,6595-2577
605,C10427,SG - Singapore,+65 87589269
606,C15647,SG - Singapore,88627994
607,C13733,SG - Singapore,(65) 91484417
608,C33041,SG - Singapore,(65) 61764028
609,C06217,SG - Singapore,91583860
610,C21281,MY - Malaysia,603-45207028
611,C34890,SG - Singapore,66824543
612,C45210,SG - Singapore,9610 5414
613,C29088,SG - Singapore,6873 497
614,C02547,SG - Singapore,(+65) 65438370
615,C21446,SG - Singapore,86594463
616,C38755,SG - Singapore,(65) 96588403
617,C18702,SG - Singapore,68081322
618,C28728,SG - Singapore,39465716
619,C42528,SG - Singapore,(65) 69558841
620,C19194,SG - Singapore,6613 6495
621,C30423,SG - Singapore,+65 88346196
622,C48526,SG - Singapore,64804798
623,C43525,MY - Malaysia,+60-0125357885
624,C05622,SG - Singapore,968649436
625,C40303,SG - Singapore,38250159
626,C11314,SG - Singapore,34616926
627,C24508,SG - Singapore,+65 84313224
628,C39479,SG - Singapore,37563997
629,C11789,SG - Singapore,"81416031,66127223"
630,C02102,SG - Singapore,(65) 95208718
631,C15279,SG - Singapore,(65) 97982268
632,C18150,SG - Singapore,(65) 93386824
633,C41936,SG - Singapore,9637803
634,C38232,SG - Singapore,+65 98549515
635,C24619,MY - Malaysia,603-11718097
636,C05371,SG - Singapore,(65) 82178333
637,C29040,SG - Singapore,94224834
638,C06416,SG - Singapore,(65) 86608549
639,C15878,SG - Singapore,6582-6880
640,C09544,SG - Singapore,3560 2543
641,C37390,SG - Singapore,82226403
642,C07627,SG - Singapore,(65) 65174149
643,C45920,SG - Singapore,3484 8237
644,C10085,SG - Singapore,3608 4583
645,C09993,SG - Singapore,(+65) 39945075
646,C09239,SG - Singapore,9415 5971
647,C12126,SG - Singapore,89462383
648,C18670,SG - Singapore,"82382733,64072642"
649,C19636,SG - Singapore,(65) 84373352
650,C09522,SG - Singapore,3210 4646
651,C00489,SG - Singapore,9496 7390
652,C34364,SG - Singapore,99772419
653,C29062,SG - Singapore,97308440
654,C10136,SG - Singapore,(+65) 92223176
655,C10127,SG - Singapore,9875 4981
656,C06222,SG - Singapore,9205 5360
657,C29244,SG - Singapore,+65 63982064
658,C44779,SG - Singapore,3850064
659,C37084,SG - Singapore,(+65) 89554246
660,C06172,SG - Singapore,(+65) 65239700
661,C18996,SG - Singapore,93921040
662,C30123,SG - Singapore,0x25D6AE6
663,C27729,SG - Singapore,69506509 / 67135273
664,C41486,SG - Singapore,88668016
665,C12153,SG - Singapore,91413917
666,C45108,SG - Singapore,8263362
667,C06350,SG - Singapore,9496 1622
668,C01893,SG - Singapore,69083580
669,C07993,SG - Singapore,(+65) 99762574
670,C47708,SG - Singapore,86184126
671,C49700,SG - Singapore,(65) 89275198
672,C02789,SG - Singapore,(+65) 97902101
673,C10928,SG - Singapore,69972528
674,C40576,SG - Singapore,3513 783
675,C23624,,97824216
676,C22789,SG - Singapore,(+65) 33596142
677,C47817,SG - Singapore,(+65) 96395445
678,C21382,SG - Singapore,+65 32783105
679,C24877,SG - Singapore,3183 5167
680,C17481,SG - Singapore,(65) 87340652
681,C02084,SG - Singapore,+65 95308793
682,C16481,SG - Singapore,99072326
683,C31931,SG - Singapore,8340793
684,C09358,SG - Singapore,94563842
685,C38148,SG - Singapore,(65) 84724773
686,C40549,SG - Singapore,99599207
687,C33744,SG - Singapore,6964 3795
688,C49743,SG - Singapore,(+65) 35184723
689,C13556,MY - Malaysia,603-61637198
690,C09987,SG - Singapore,(65) 66253944
691,C45079,SG - Singapore,(65) 32912635
692,C04921,SG - Singapore,36157093
693,C49150,SG - Singapore,+65 66080739
694,C01433,SG - Singapore,3264 7052
695,C38011,SG - Singapore,"81202720,63340604"
